incident nummer,Beschrijving incident,hoofd afdelingen
1235359,zwarte Dell boxen plaatsen op kantoor Nierdialyse i.o.m. Karel van de Berg,Marketing
1240645,"zwart scherm, error logging in code 70",Commercial department
1240473,"Zwart scherm, dus ook het tweede inbouwscherm doet het nu niet (blijft eveneens opzwart staat) melding no signal",Commercial department
1210261,Zwart scherm nog voor het inloggen,Production A
1224306,Zwart scherm na uitloggen,HR advies
1247930,Zwart scherm na inlog,HR advies
1206924,Zwart scherm na het inloggen,Production QA
1215068,Zwart scherm na het inloggen,Production A
1227156,Zwart scherm bij inloggen.,HR advies
1239811,Zwart scherm als achtergrond en een error met het openen van gescande documenten.,Production A
1213754,Zwart scherm,Commercial department
1213758,Zwart scherm,Commercial department
1209954,zwart beeld na poging tot inloggen,Commercial department
1210815,zwart beeld na inloggen,Marketing
1227164,Zwart beeld bij starten TC,Production A
1215204,Zwart beeld bij inloggen,Marketing
1226139,"zwart beeld bij foto opslaan in crm, Firewire?",Production A
1231283,Zwart beeld bij ambulance pc,Production A
1208232,zwart beeld,Production A
1227695,zwakke accu komt andere ophalen,Production A
1238130,ZS Ziscon: usernames CRM-ERP,Production A
1201805,ZS Ziscon: Niet de juiste rechten.,Commercial department
1198903,ZS Ziscon: Mis een inloggroep.,Commercial department
1241705,Zouden jullie uit mijn postvak het mapje ocon-opname en ocon-poli willen verwijderen.,Overig
1236387,Zouden jullie bij de 2 afdelingen digitalisering 10103 en 10104 ook de aliassen in willen vullen zodat wij bij het zoeken in dit veld ook de afdeling,HR advies
1203587,Zou mijn naam in Outlook veranderd kunnen worden in J. Frivossen-Heerts?,Commercial department
1192945,zou jij janneke voorthuis terug willen bellen,Commercial department
1200476,Zou je brief van de hartfalen aan willen passen. Het gaat om het telefoonnummer onderaan de brief dit moet worden 074-2905502. i.p.v. polinummer.,Production A
1231439,Zou een snelkoppeling krijgen naar Simpromed,Production A
1241818,Zou een CI nr van een computer aan Geert doorgeven maar was niet meer nodig,Production A
1245796,Zou de Exsudex (wondafzuigpomp) toegevoegd kunnen worden aan de lijst voor nee-verkopen?,Marketing
1214719,zonder dat de wachtrij knippert blijven toch mensen in de wachtrij,Marketing
1243136,Zondag in er een PC weggehaald met Bandlucht,Production QA
1229323,Zoekt WS-logo in adobe- of eps-formaat,Commercial department
1203668,Zoekt Robert van digitalisering,Facility management
1217109,zoekt leslControlekameraal,Facility management
